"Name","Code","Year","World Trade","Revealed Comparative Advantage (RCA)","Distance","Product Complexity Index (PCI)","Opportunity Gain","Sector"
"Grain sorghum","1007 HS92","2021","$3.28B","0.0049","0.858","-2.35","-0.245","Agriculture"
"Fowl","0105 HS92","2021","$3.28B","0.32","0.839","-0.201","0.423","Agriculture"
"Lettuce","0705 HS92","2021","$3.25B","0.335","0.863","-0.518","0.43","Agriculture"
"Artificial graphite","3801 HS92","2021","$3.25B","0.0023","0.918","1.29","1.07","Chemicals"
"Chlorides, bromides, iodides etc.","2827 HS92","2021","$3.23B","0.0267","0.887","-0.25","0.654","Chemicals"
"Slide fasteners","9607 HS92","2021","$3.20B","0.0729","0.864","0.458","0.561","Machinery"
"Wool","5101 HS92","2021","$3.18B","0.344","0.816","-2.2","-0.213","Textiles"
"Shawls, scarves, etc.","6214 HS92","2021","$3.16B","0.281","0.843","-0.706","0.395","Textiles"
"Optical microscopes","9011 HS92","2021","$3.11B","0.0049","0.917","1.13","0.946","Machinery"
"Glycerol","1520 HS92","2021","$3.09B","0.0074","0.862","-0.261","0.364","Agriculture"
"Cutlery","8215 HS92","2021","$3.06B","0.0091","0.878","0.0509","0.291","Metals"
"Twine and ropes of baste fibers","5607 HS92","2021","$3.05B","0.192","0.81","-0.6","0.151","Textiles"
"Umbrellas","6601 HS92","2021","$3.04B","0.0336","0.894","0.289","0.0022","Textiles"
"Machine tools for drilling by removing metal","8459 HS92","2021","$3.03B","0.0999","0.909","1.05","1.16","Machinery"
"Mineral substances n.e.c.","2530 HS92","2021","$3.03B","0.35","0.837","-1.11","-0.113","Minerals"
"Other ceramic articles","6914 HS92","2021","$2.99B","0.353","0.859","0.353","0.687","Stone"
"Activated carbon","3802 HS92","2021","$2.99B","0.0975","0.883","0.149","0.582","Chemicals"
"Musical instruments, electric","9207 HS92","2021","$2.98B","0.001","0.929","0.636","0.592","Machinery"
"Men's overcoats, knit","6101 HS92","2021","$2.98B","0.836","0.763","-1.22","0.0127","Textiles"
"Machine tools for working stone","8464 HS92","2021","$2.98B","0.199","0.914","1.37","1.31","Machinery"
"Instruments designed for demonstrational purposes","9023 HS92","2021","$2.97B","0.0929","0.902","0.45","0.839","Machinery"
"Cocoa powder","1805 HS92","2021","$2.95B","0.0015","0.878","-0.624","0.367","Agriculture"
"Ornaments, statuettes, etc. of metal","8306 HS92","2021","$2.92B","0.151","0.882","-0.386","0.312","Metals"
"Titanium ore","2614 HS92","2021","$2.92B","0","0.82","-2.14","-0.303","Minerals"
"Polishes and creams","3405 HS92","2021","$2.90B","0.0282","0.86","0.0991","0.702","Chemicals"
"Chromium ore","2610 HS92","2021","$2.87B","0","0.849","-2.65","0.0001","Minerals"
"Aldehydes","2912 HS92","2021","$2.85B","0.0537","0.914","1.11","1.17","Chemicals"
"Ornamental ceramic articles","6913 HS92","2021","$2.83B","0.329","0.856","-0.136","0.349","Stone"
"Casein","3501 HS92","2021","$2.83B","0.0032","0.896","0.199","0.378","Chemicals"
"Cereal residues","2302 HS92","2021","$2.82B","0.0005","0.794","-2.23","-0.269","Agriculture"
"Wire of stainless steel","7223 HS92","2021","$2.81B","0","0.908","1.26","1.1","Metals"
"Other articles of leather","4205 HS92","2021","$2.80B","0.3","0.837","-0.0132","0.502","Agriculture"
"Flexible tubing of base metal","8307 HS92","2021","$2.79B","0.0175","0.88","1.03","1.03","Metals"
"Electric signal and traffic controls","8530 HS92","2021","$2.78B","0.044","0.885","1.03","1.13","Electronics"
"Powders of iron or steel","7205 HS92","2021","$2.78B","0.0033","0.904","0.829","0.945","Metals"
"Quaternary ammonium salts and hydroxides","2923 HS92","2021","$2.76B","0.0104","0.903","0.448","0.878","Chemicals"
"Pliers, pincers and other metal handtools","8203 HS92","2021","$2.76B","0.0675","0.891","0.794","0.869","Metals"
"Inorganic compounds, liquid or compressed air","2851 HS92","2021","$2.76B","0.0002","0.936","1.73","0.714","Chemicals"
"Other clothing accesories","6217 HS92","2021","$2.74B","0.517","0.801","-0.738","0.247","Textiles"
"Newspapers, journals and periodicals","4902 HS92","2021","$2.71B","0.0083","0.892","0.891","1.07","Agriculture"
"Knitting machines","8447 HS92","2021","$2.70B","0.0358","0.913","0.457","0.76","Machinery"
"Used pneumatic tires of rubber","4012 HS92","2021","$2.66B","0.0196","0.874","0.483","0.742","Chemicals"
"Refractory cements","3816 HS92","2021","$2.64B","0.0235","0.89","0.63","0.965","Chemicals"
"Parts of military weapons","9305 HS92","2021","$2.64B","0","0.877","0.823","0.913","Machinery"
"Magnesium","8104 HS92","2021","$2.63B","0","0.896","0.97","0.815","Metals"
"Wadding of textile materials","5601 HS92","2021","$2.60B","0.0421","0.84","-0.109","0.365","Textiles"
"Aluminum tubes and pipes","7608 HS92","2021","$2.60B","0.029","0.851","0.21","0.728","Metals"
"Honey","0409 HS92","2021","$2.60B","0.0272","0.79","-1.08","-0.0688","Agriculture"
"Drafting tables and machines","9017 HS92","2021","$2.59B","0.0614","0.929","1.53","1.37","Machinery"
"Handtools for gardening","8201 HS92","2021","$2.56B","0.0023","0.88","0.0904","0.6","Metals"
"Furskin apparel","4303 HS92","2021","$2.54B","0.0048","0.885","0.224","0.0025","Agriculture"
"Wood marquetry, ornaments, etc.","4420 HS92","2021","$2.54B","0.328","0.839","-0.861","0.143","Agriculture"
"Mixed alkylbenzenes","3817 HS92","2021","$2.53B","0","0.886","0.0648","0.374","Chemicals"
"Cyclic alcohols","2906 HS92","2021","$2.52B","0","0.914","0.958","0.942","Chemicals"
"Nickel bars, wire etc.","7505 HS92","2021","$2.52B","0","0.93","0.976","0.969","Metals"
"Machines for testing the mechanical properties of materials","9024 HS92","2021","$2.49B","0.0663","0.919","1.67","1.1","Machinery"
"Copper wire, uninsulated","7413 HS92","2021","$2.49B","0.472","0.848","-0.452","0.436","Metals"
"Vehicle chassis fitted with engines","8706 HS92","2021","$2.48B","0.0006","0.884","0.798","0.824","Vehicles"
"Albumins","3502 HS92","2021","$2.47B","0","0.909","0.386","0.835","Chemicals"
"Other refractory ceramic goods","6903 HS92","2021","$2.43B","0.0454","0.891","1","1.01","Stone"
"Bars of stainless steel, hot-rolled","7221 HS92","2021","$2.43B","0","0.918","1.73","1.16","Metals"
"Furnace burners","8416 HS92","2021","$2.43B","0.0121","0.902","1.24","1.12","Machinery"
"Plaster articles","6809 HS92","2021","$2.43B","0.336","0.831","-0.334","0.354","Stone"
"Pigments, nonaqueous","3212 HS92","2021","$2.42B","0.183","0.883","0.783","1.01","Chemicals"
"Electrical insulators of any material","8546 HS92","2021","$2.42B","0.746","0.871","1.07","0.911","Electronics"
"Compounds of rare-earth metals","2846 HS92","2021","$2.40B","0","0.917","0.817","0.722","Chemicals"
"Machines used in metallurgy","8454 HS92","2021","$2.40B","0.13","0.902","1.13","1.16","Machinery"
"Bovine, sheep and goat fats","1502 HS92","2021","$2.36B","0","0.901","-0.619","0.127","Agriculture"
"Cigarette paper","4813 HS92","2021","$2.36B","0.0159","0.869","0.0319","0.596","Agriculture"
"Sulfonated, nitrated derivatives of hydrocarbons","2904 HS92","2021","$2.33B","0.0302","0.888","-0.303","0.488","Chemicals"
"Transparent paper","4806 HS92","2021","$2.32B","0.0058","0.926","1.65","0.915","Agriculture"
"Woven fabrics of < 85% synthetic staple fibers weighing > 170 g/m2","5514 HS92","2021","$2.31B","0.114","0.857","-0.907","0.378","Textiles"
"Other machine tools for planing and cutting metals","8461 HS92","2021","$2.30B","0.168","0.927","1.96","1.28","Machinery"
"Natural magnesia","2519 HS92","2021","$2.30B","0.0171","0.877","-0.273","0.361","Minerals"
"Ion-exchangers based on polymers","3914 HS92","2021","$2.29B","0","0.932","1.87","1.25","Chemicals"
"Woven pile fabrics","5801 HS92","2021","$2.29B","0.145","0.878","0.465","0.767","Textiles"
"Other carpets","5705 HS92","2021","$2.29B","0.288","0.854","-0.702","0.307","Textiles"
"Live Fish","0301 HS92","2021","$2.29B","0.771","0.831","-0.831","0.31","Agriculture"
"Wooden kitchenware","4419 HS92","2021","$2.27B","0.112","0.845","-0.511","0.358","Agriculture"
"Other articles of nickel","7508 HS92","2021","$2.27B","0.154","0.922","1.09","0.759","Metals"
"Baby carriages","8715 HS92","2021","$2.25B","0.0016","0.895","0.567","0.659","Vehicles"
"Worked cereal grains","1104 HS92","2021","$2.23B","0.108","0.824","-0.895","0.125","Agriculture"
"Magnetic tape recorders","8520 HS92","2021","$2.23B","0","0.902","0.666","0.348","Electronics"
"Asphalt","6807 HS92","2021","$2.22B","0.226","0.848","-0.0172","0.405","Stone"
"Woven fabrics of < 85% synthetic staple fibers weighing < 170 g/m2","5513 HS92","2021","$2.21B","0.0642","0.849","-1.63","0.0719","Textiles"
"Multiple-walled insulating glass","7008 HS92","2021","$2.20B","0.0073","0.861","0.701","0.754","Stone"
"Carbides","2849 HS92","2021","$2.17B","0","0.895","0.192","0.515","Chemicals"
"Sheet piling of iron or steel","7301 HS92","2021","$2.16B","0.253","0.862","0.518","0.786","Metals"
"Machinery for processing grain","8437 HS92","2021","$2.16B","0.0501","0.87","-0.0861","0.609","Machinery"
"Natural sands","2505 HS92","2021","$2.16B","0.592","0.823","-0.728","0.19","Minerals"
"Dairy machinery","8434 HS92","2021","$2.16B","0.0071","0.884","0.821","0.927","Machinery"
"Looms","8446 HS92","2021","$2.15B","0.297","0.92","0.793","0.926","Machinery"
"Floating structures for scrapping","8908 HS92","2021","$2.14B","0","0.849","-1.23","0.124","Vehicles"
"Pulps of recovered paper fibers","4706 HS92","2021","$2.13B","0.0015","0.867","-0.254","0.268","Agriculture"
"Organic composite solvents and thinners","3814 HS92","2021","$2.13B","0.199","0.84","0.0396","0.449","Chemicals"
"Granite","2516 HS92","2021","$2.11B","0","0.809","-1.43","-0.0827","Minerals"
"Ceramic building bricks","6904 HS92","2021","$2.10B","0.0617","0.834","-0.366","0.3","Stone"
"Cigarette lighters","9613 HS92","2021","$2.08B","0.0002","0.871","0.328","0.473","Machinery"
"Gelatin","3503 HS92","2021","$2.06B","0.0171","0.859","-0.148","0.464","Chemicals"
"Antiques >100 years","9706 HS92","2021","$2.06B","0.0711","0.883","-1.32","0.345","Textiles"
"Other fermented beverages","2206 HS92","2021","$2.04B","0","0.856","0.0274","0.542","Agriculture"
"Flower bulbs","0601 HS92","2021","$2.02B","0.448","0.892","-0.354","0.002","Agriculture"
"Carboxyimide-function compounds","2925 HS92","2021","$2.02B","0","0.915","0.746","1.22","Chemicals"
"Collectors pieces","9705 HS92","2021","$2.01B","0.858","0.866","-0.695","0.388","Textiles"
"Watch straps","9113 HS92","2021","$2.00B","0.0041","0.867","0.0749","0.659","Machinery"
"Esters of other inorganic acids of nonmetals","2920 HS92","2021","$1.99B","0.0062","0.922","1.35","1.2","Chemicals"
"Cotton yarn of < 85%","5206 HS92","2021","$1.98B","0.333","0.831","-0.783","0.156","Textiles"
"Combs, hair-slides etc.","9615 HS92","2021","$1.98B","0.013","0.887","-0.638","0.0016","Machinery"
"Other organic compounds","2942 HS92","2021","$1.97B","0.0015","0.876","-0.273","0.356","Chemicals"
"Thermionic, cold cathode or photocathode tubes","8540 HS92","2021","$1.96B","0.0444","0.92","0.455","0.976","Electronics"
"Parts and accessories for video or sound equipment","8522 HS92","2021","$1.94B","0.001","0.914","0.795","0.718","Electronics"
"Semichemical woodpulp","4705 HS92","2021","$1.94B","0","0.894","0.105","0.162","Agriculture"
"Peat","2703 HS92","2021","$1.94B","0.0057","0.901","0.488","0.652","Minerals"
"Pickling preparations for metal surfaces","3810 HS92","2021","$1.92B","0.0116","0.921","1.59","1.2","Chemicals"
"Other breathing appliances and gas masks","9020 HS92","2021","$1.92B","0.0756","0.894","0.649","0.806","Machinery"
"Zirconium ore","2615 HS92","2021","$1.91B","0.0005","0.791","-2.65","-0.489","Minerals"
"Other firearms","9303 HS92","2021","$1.91B","0","0.879","0.315","0.701","Machinery"
"Sheep","0104 HS92","2021","$1.88B","0.0106","0.797","-1.68","-0.106","Agriculture"
"Binoculars and telescopes","9005 HS92","2021","$1.87B","0.0011","0.89","0.673","0.752","Machinery"
"Vegetable alkaloids","2939 HS92","2021","$1.86B","0","0.9","0.375","0.837","Chemicals"
"Wheat gluten","1109 HS92","2021","$1.84B","0","0.895","-0.128","0.667","Agriculture"
"Parts of musical instruments","9209 HS92","2021","$1.82B","0.0013","0.91","1.41","1.33","Machinery"
"Artificial filament tow","5502 HS92","2021","$1.80B","0.0004","0.939","1.25","0.877","Textiles"
"Flourides","2826 HS92","2021","$1.80B","0.0019","0.888","0.517","0.816","Chemicals"
"Sulfiric acid, oleum","2807 HS92","2021","$1.78B","0.0384","0.855","0.107","0.476","Chemicals"
"Wheelchairs","8713 HS92","2021","$1.78B","0.0036","0.9","0.698","0.764","Vehicles"
"Nickel powders","7504 HS92","2021","$1.78B","0.509","0.923","0.194","0.373","Metals"
"Articles of precious stones","7116 HS92","2021","$1.78B","0.503","0.883","-0.206","0.451","Stone"
"Woven fabrics of cotton of < 85% weighing < 200 g/m2","5210 HS92","2021","$1.77B","0.0707","0.844","-0.848","0.246","Textiles"
"Buttons","9606 HS92","2021","$1.77B","0.543","0.86","0.0857","0.566","Machinery"
"Photographic film, developed","3705 HS92","2021","$1.76B","0","0.952","2.31","0.935","Chemicals"
"Feathers and down","0505 HS92","2021","$1.76B","0.0056","0.868","-0.0348","0.579","Agriculture"
"Other machine tools for working metal, without removal","8463 HS92","2021","$1.76B","0.0291","0.898","0.976","1.15","Machinery"
"Scent sprays","9616 HS92","2021","$1.75B","0.0078","0.908","1.52","0.671","Machinery"
"Zinc oxide or peroxide","2817 HS92","2021","$1.75B","0.0022","0.842","-0.168","0.297","Chemicals"
"Manganese","8111 HS92","2021","$1.74B","0","0.903","-0.286","0.0018","Metals"
"Photographic film in rolls","3702 HS92","2021","$1.74B","0","0.946","2","0.778","Chemicals"
"Machinery to manufacture felt","8449 HS92","2021","$1.74B","0.0018","0.919","1.45","0.922","Machinery"
"Copper powders and flakes","7406 HS92","2021","$1.72B","0.0174","0.916","1.35","0.959","Metals"
"Iodine","2801 HS92","2021","$1.71B","0.0008","0.858","-0.711","0.206","Chemicals"
"Rubberized textile fabrics","5906 HS92","2021","$1.71B","0.0694","0.891","1.09","0.99","Textiles"
"Detonators","3603 HS92","2021","$1.71B","0.174","0.851","-0.64","0.251","Chemicals"
"Glass beads","7018 HS92","2021","$1.69B","0.0008","0.913","0.395","0.674","Stone"
"Other clock or watch parts","9114 HS92","2021","$1.69B","0.0025","0.91","0.71","0.793","Machinery"
"Rosin and resin acids","3806 HS92","2021","$1.68B","0.0014","0.88","-0.109","0.475","Chemicals"
"Children's books","4903 HS92","2021","$1.68B","0.064","0.905","0.404","0.417","Agriculture"
"Retail tool sets","8206 HS92","2021","$1.68B","0.0492","0.906","-0.101","0.532","Metals"
"Sound reproducing apparatus","8519 HS92","2021","$1.67B","0.0036","0.898","0.599","0.792","Electronics"
"Asbestos-cement or cellulose fiber-cement","6811 HS92","2021","$1.67B","0.0164","0.843","-0.0749","0.355","Stone"
"Wallpaper","4814 HS92","2021","$1.66B","0.0053","0.895","0.412","0.927","Agriculture"
"Other articles of zinc","7907 HS92","2021","$1.65B","0.226","0.861","0.461","0.878","Metals"
"Other metals","8112 HS92","2021","$1.65B","0.065","0.913","0.186","0.545","Metals"
"Coloring matter of animal or vegetable origin","3203 HS92","2021","$1.65B","0.0609","0.889","0.0608","0.905","Chemicals"
"Wool, combed","5105 HS92","2021","$1.65B","0.0005","0.896","-0.605","0.553","Textiles"
"Synthetic monofilament >67 dtex, thickness < 1mm","5404 HS92","2021","$1.64B","0.053","0.873","0.548","0.924","Textiles"
"Woven fabrics of flax","5309 HS92","2021","$1.64B","0.414","0.877","0.757","0.827","Textiles"
"Pitch and pitch coke","2708 HS92","2021","$1.63B","0","0.902","0.797","0.954","Minerals"
"Other parts of plants","0604 HS92","2021","$1.63B","0.0326","0.807","-0.902","0.101","Agriculture"
"Organix derivatives of hydrazine","2928 HS92","2021","$1.63B","0.0012","0.902","0.655","0.676","Chemicals"
"Tubes of cast iron","7303 HS92","2021","$1.62B","0.0198","0.874","-0.0893","0.521","Metals"
"Pencils, crayons, pastels, etc.","9609 HS92","2021","$1.59B","0.0046","0.852","-0.0871","0.493","Machinery"
"Tapes, cassettes, records and compact disks","8524 HS92","2021","$1.58B","0.0236","0.898","0.968","1.02","Electronics"
"Calendering or other rolling machines, other than for metals or glass","8420 HS92","2021","$1.57B","0.0308","0.926","1.88","1.25","Machinery"
"Copper mattes","7401 HS92","2021","$1.56B","0.333","0.839","-1.3","0.0415","Metals"
"Revolvers and pistols","9302 HS92","2021","$1.55B","0","0.899","0.488","0.804","Machinery"
"Typewriter ribbons and ink pads","9612 HS92","2021","$1.54B","0.0095","0.923","1.11","0.946","Machinery"
"Phosporic esters","2919 HS92","2021","$1.52B","0","0.94","1.93","0.84","Chemicals"
"Mushrooms, prepared or preserved","2003 HS92","2021","$1.52B","0.234","0.883","0.141","0.681","Agriculture"
"Auxiliary parts for use with boilers","8404 HS92","2021","$1.51B","0.0025","0.885","1.18","1.04","Machinery"
"Nutmeg","0908 HS92","2021","$1.51B","0.0216","0.818","-1.83","-0.245","Agriculture"
"Embroidery in the piece","5810 HS92","2021","$1.50B","0.498","0.847","-0.479","0.317","Textiles"
"Men's undergarments","6207 HS92","2021","$1.50B","0.755","0.757","-1.43","-0.103","Textiles"
"Other rail locomotives","8602 HS92","2021","$1.50B","0","0.91","0.232","0.768","Vehicles"
"Wood charcoal","4402 HS92","2021","$1.50B","0.0035","0.792","-1.56","-0.182","Agriculture"
"Aircraft launching gear","8805 HS92","2021","$1.49B","0","0.917","0.5","0.659","Vehicles"
"Nickel plates","7506 HS92","2021","$1.49B","0.0024","0.938","1.47","1.17","Metals"
"Tin ore","2609 HS92","2021","$1.49B","0.0007","0.804","-3.37","-0.31","Minerals"
"Yarn of artificial staple fibers, not for retail sale","5510 HS92","2021","$1.49B","0.0018","0.853","0.0032","0.46","Textiles"
"Work trucks","8709 HS92","2021","$1.48B","0.0887","0.891","0.901","0.903","Vehicles"
"Automatic goods-vending machines","8476 HS92","2021","$1.48B","0.0035","0.873","0.85","0.859","Machinery"
"Electrostatic photo-copyers","9009 HS92","2021","$1.48B","0.0575","0.894","0.0757","0.623","Machinery"
"Flours of oil seeds","1208 HS92","2021","$1.47B","0.0015","0.859","-1.63","0.122","Agriculture"
"Railway coaches, not self-propelled","8605 HS92","2021","$1.45B","0","0.888","0.425","0.793","Vehicles"
"Other sugars, chemically pure","2940 HS92","2021","$1.45B","0.0069","0.912","1.1","1.25","Chemicals"
"Rubber hygenic or pharmeceutical items","4014 HS92","2021","$1.45B","0.0094","0.874","0.442","0.572","Chemicals"
"Glass balls","7002 HS92","2021","$1.45B","0.0015","0.923","1.07","0.963","Stone"
"Screws and similar articles of copper","7415 HS92","2021","$1.44B","0.0745","0.914","0.887","1.03","Metals"
"Other tanned furskins","4302 HS92","2021","$1.44B","0.118","0.855","-0.428","0.342","Agriculture"
"Safes","8303 HS92","2021","$1.42B","0.036","0.882","0.726","0.844","Metals"
"Other clocks","9105 HS92","2021","$1.42B","0.0285","0.922","0.622","0.388","Machinery"
"Electric trains","8601 HS92","2021","$1.41B","0","0.902","0.932","0.862","Vehicles"
"Other raw furskins","4301 HS92","2021","$1.39B","0","0.889","-0.0046","0.417","Agriculture"
"Rubber inner tubes","4013 HS92","2021","$1.39B","0.0158","0.867","-0.461","0.328","Chemicals"
"Felt","5602 HS92","2021","$1.38B","0.0207","0.871","0.715","0.904","Textiles"
"Nitrites, nitrates","2834 HS92","2021","$1.37B","0.0776","0.861","-0.26","0.336","Chemicals"
"Antifreezing preparation","3820 HS92","2021","$1.37B","0.759","0.884","0.432","0.891","Chemicals"
"Goldsmith and silversmith wares","7114 HS92","2021","$1.37B","0.0006","0.87","0.41","0.783","Stone"
"Railway service vehicles","8604 HS92","2021","$1.36B","0.0646","0.902","0.212","0.759","Vehicles"
"Laboratory, hygienic or pharmaceutical glassware","7017 HS92","2021","$1.35B","0.0139","0.914","0.981","1.13","Stone"
"Vegetable products n.e.c.","1404 HS92","2021","$1.35B","0.203","0.782","-1.74","-0.206","Agriculture"
"Fireworks","3604 HS92","2021","$1.34B","0","0.877","-0.11","0.563","Chemicals"
"Nickel waste and scrap","7503 HS92","2021","$1.34B","0.0526","0.871","-0.469","0.267","Metals"
"Fairground amusements","9508 HS92","2021","$1.34B","0.0094","0.898","0.944","1.04","Machinery"
"Woven fabrics of combed wool","5112 HS92","2021","$1.32B","0.681","0.892","0.581","0.793","Textiles"
"Transfers (decalcomanias)","4908 HS92","2021","$1.32B","0.0114","0.892","0.86","0.998","Agriculture"
"Labels and badges of textiles","5807 HS92","2021","$1.30B","0.138","0.827","-0.485","0.259","Textiles"
"Machinery for making printing components","8442 HS92","2021","$1.29B","0.0969","0.883","0.557","1.01","Machinery"
"Artificial filament yarn","5403 HS92","2021","$1.27B","0.0011","0.895","0.487","0.855","Textiles"
"Machinery for preparing tobacco","8478 HS92","2021","$1.27B","0.0005","0.866","-0.0345","0.457","Machinery"
"Machines to extrude, cut manmade textile fibres","8444 HS92","2021","$1.26B","0.0039","0.93","1.6","0.814","Machinery"
"Linseed","1204 HS92","2021","$1.25B","0.0055","0.884","-0.583","0.0616","Agriculture"
"Yarn of combed wool, not for retail sale","5107 HS92","2021","$1.24B","0.0016","0.893","0.547","0.956","Textiles"
"Modeling pastes","3407 HS92","2021","$1.23B","0.046","0.911","0.884","1.07","Chemicals"
"Musical instruments, string","9202 HS92","2021","$1.22B","0.0196","0.895","-0.124","0.569","Machinery"
"Synthetic sowing thread","5401 HS92","2021","$1.22B","0.231","0.84","-0.206","0.431","Textiles"
"Synthetic filament tow","5501 HS92","2021","$1.22B","0.0046","0.879","0.235","0.579","Textiles"
"Military weapons, other than pistols and swords","9301 HS92","2021","$1.21B","0","0.882","0.376","0.687","Machinery"
"Human animal hair prepared for use in wigs","6703 HS92","2021","$1.21B","0.0077","0.833","-0.788","0.0592","Textiles"
"Tungsten (wolfram)","8101 HS92","2021","$1.21B","0.0296","0.915","0.426","1.14","Metals"
"Other cutlery","8214 HS92","2021","$1.20B","0.0046","0.856","-0.15","0.184","Metals"
"Other cereals","1008 HS92","2021","$1.17B","0","0.814","-1.55","-0.113","Agriculture"
"Animal or vegetable fertilizers","3101 HS92","2021","$1.17B","0.0273","0.835","-0.701","0.211","Chemicals"
"Watch movements, complete","9108 HS92","2021","$1.16B","0.0008","0.946","1.52","0.652","Machinery"
"Printed or illustrated postcards","4909 HS92","2021","$1.15B","0.0028","0.898","-0.225","0.459","Agriculture"
"Quicklime","2522 HS92","2021","$1.15B","0.852","0.826","-0.612","0.161","Minerals"
"Gloves","6216 HS92","2021","$1.15B","0.286","0.824","-1.09","0.0952","Textiles"
"Watch cases and parts","9111 HS92","2021","$1.14B","0.0051","0.903","0.708","0.654","Machinery"
"Woven fabrics of artificial filament yarn","5408 HS92","2021","$1.14B","0.289","0.873","0.19","0.81","Textiles"
"Rare-earth metals","2805 HS92","2021","$1.14B","0.0275","0.881","-0.862","0.201","Chemicals"
"Cereal flours","1102 HS92","2021","$1.14B","0.274","0.797","-1.45","-0.142","Agriculture"
"Agglomerated cork","4504 HS92","2021","$1.14B","0.692","0.85","-0.487","0.31","Agriculture"
"Cyanides","2837 HS92","2021","$1.14B","0.0092","0.9","-0.943","0.306","Chemicals"
"Egg yolks","0408 HS92","2021","$1.13B","0.0064","0.873","0.108","0.671","Agriculture"
"Glass paving blocks or other molded products","7016 HS92","2021","$1.13B","0.0461","0.87","0.0868","0.613","Stone"
"Pig and poultry fat, rendered","1501 HS92","2021","$1.13B","0","0.896","0.878","1.09","Agriculture"
"Natural steatite","2526 HS92","2021","$1.12B","0.0178","0.889","-0.02","0.796","Minerals"
"Iron oxides and hydroxides","2821 HS92","2021","$1.12B","0.321","0.916","0.272","0.803","Chemicals"
"Artists' colors","3213 HS92","2021","$1.12B","0.0074","0.86","-0.0599","0.482","Chemicals"
"Worked vegetable or mineral carving material","9602 HS92","2021","$1.11B","0.0136","0.875","0.0453","0.466","Machinery"
"Other floating structures","8907 HS92","2021","$1.11B","0.136","0.841","-0.214","0.562","Vehicles"
"Other arms (air guns, truncheons, etc.)","9304 HS92","2021","$1.11B","0","0.885","0.784","0.745","Machinery"
"Machinery for preparing leather","8453 HS92","2021","$1.09B","0.0253","0.884","0.0079","0.457","Machinery"
"Letterstock","4817 HS92","2021","$1.07B","0.0279","0.847","0.0212","0.707","Agriculture"
"Limstone","2521 HS92","2021","$1.07B","0.0056","0.841","-0.933","0.117","Minerals"
"Flax, raw or processed","5301 HS92","2021","$1.07B","0.0047","0.902","0.35","0.473","Textiles"
"Machinery for soldering","8468 HS92","2021","$1.06B","0.0276","0.91","0.985","1.21","Machinery"
"Borates","2840 HS92","2021","$1.06B","0.0059","0.885","0.238","0.261","Chemicals"
"Edible animal products, n.e.c.","0410 HS92","2021","$1.06B","0.0015","0.885","-0.308","0.0539","Agriculture"
"Hydraulic turbines, water wheels and regulators","8410 HS92","2021","$1.05B","0.022","0.879","-0.151","0.823","Machinery"
"Cermets","8113 HS92","2021","$1.05B","0","0.942","1.99","0.953","Metals"
"Vegetable materials for animal feeding","2308 HS92","2021","$1.04B","0","0.855","-0.692","0.109","Agriculture"
"Aluminum tube or pipe fittings","7609 HS92","2021","$1.02B","0.0916","0.89","0.927","1.09","Metals"
"Paper clips and similar office articles, of metal","8305 HS92","2021","$1.02B","0.0116","0.902","0.838","0.887","Metals"
"Pianos","9201 HS92","2021","$1.02B","0.0015","0.931","0.332","0.736","Machinery"
"Oats","1004 HS92","2021","$1.01B","0","0.891","0.0154","0.443","Agriculture"
"Cinnamon","0906 HS92","2021","$1.01B","0.0057","0.854","-1.7","-0.0196","Agriculture"
"Scissors","8213 HS92","2021","$996M","0.0005","0.9","0.969","0.395","Metals"
"Quartz","2506 HS92","2021","$994M","0.359","0.843","-0.767","0.279","Minerals"
"Bitumen and asphalt, natural","2714 HS92","2021","$991M","0.001","0.838","-0.82","0.136","Minerals"
"Railway track fixtures","8608 HS92","2021","$988M","0.035","0.888","0.873","1.04","Vehicles"
"Platinum clad metals","7111 HS92","2021","$985M","0","0.924","-0.359","0.439","Stone"
"Household articles of copper","7418 HS92","2021","$982M","0.164","0.882","0.377","0.737","Metals"
"Nickel tubes and pipes","7507 HS92","2021","$980M","0","0.909","0.986","1.16","Metals"
"Tantalum","8103 HS92","2021","$971M","0","0.912","0.526","1.01","Metals"
"Wooden frames","4414 HS92","2021","$967M","0.7","0.889","-0.19","0.548","Agriculture"
"Lac","1301 HS92","2021","$962M","0.439","0.775","-2.81","-0.398","Agriculture"
"Vanilla","0905 HS92","2021","$960M","0.512","0.873","-1.96","-0.0555","Agriculture"
"Casks, barrels, etc. of wood","4416 HS92","2021","$947M","0.0075","0.872","0.161","0.599","Agriculture"
"Granulated iron or steel slag","2618 HS92","2021","$946M","0","0.874","0.163","0.532","Minerals"
"Titanium oxides","2823 HS92","2021","$943M","0.012","0.92","1.19","1.05","Chemicals"
"Hydrogen peroxide","2847 HS92","2021","$936M","0.0768","0.885","0.546","0.747","Chemicals"
"Hydraulic fluids","3819 HS92","2021","$925M","0.121","0.895","0.548","0.822","Chemicals"
"Sign plates and similar plates of base metal","8310 HS92","2021","$924M","0.167","0.872","0.261","0.76","Metals"
"Other textile fabrics impregnated, coated or covered","5907 HS92","2021","$915M","0.0233","0.884","0.332","0.675","Textiles"
"Potato flour","1105 HS92","2021","$908M","0.0554","0.914","0.688","0.848","Agriculture"
"Pig and poultry fat","0209 HS92","2021","$895M","0","0.892","0.388","0.865","Agriculture"
