"Name","Code","Year","World Trade","Revealed Comparative Advantage (RCA)","Distance","Product Complexity Index (PCI)","Opportunity Gain","Sector"
"Chemical woodpulp, soda or sulfate","4703 HS92","2021","$35.4B","0.0057","0.895","-0.0357","0.202","Agriculture"
"Nitrogenous fertilizers","3102 HS92","2021","$35.3B","0.277","0.811","-1.22","-0.0662","Chemicals"
"Ball or roller bearings","8482 HS92","2021","$35.1B","0.0081","0.908","1.41","1.25","Machinery"
"Coffee","0901 HS92","2021","$35.0B","0.0243","0.819","-1.76","-0.095","Agriculture"
"Automatic regulating instruments","9032 HS92","2021","$34.8B","0.4","0.885","1.14","1.05","Machinery"
"Dish washing machines","8422 HS92","2021","$34.6B","0.0107","0.894","1.25","1.13","Machinery"
"Optical fibers","9001 HS92","2021","$33.9B","0.0314","0.903","0.992","0.96","Machinery"
"Trailers and semi-trailers","8716 HS92","2021","$33.3B","0.0642","0.882","0.874","1.01","Vehicles"
"Oils etc. from high temperature coal tar","2707 HS92","2021","$33.3B","0.229","0.872","0.178","0.671","Minerals"
"Other knitted fabrics","6002 HS92","2021","$33.1B","0.211","0.818","-0.51","0.129","Textiles"
"Other plastic plates, sheets etc.","3921 HS92","2021","$33.0B","0.267","0.85","0.599","0.795","Chemicals"
"Other lifting machinery","8428 HS92","2021","$33.0B","0.176","0.89","1.04","1.18","Machinery"
"Instruments for measuring electricity","9030 HS92","2021","$32.4B","0.361","0.934","1.32","1.09","Machinery"
"Chocolates","1806 HS92","2021","$31.9B","0.0647","0.852","0.186","0.586","Agriculture"
"Plastic tubes and fittings","3917 HS92","2021","$31.4B","0.877","0.834","-0.0189","0.404","Chemicals"
"Parts of motorcycles or wheelchairs","8714 HS92","2021","$31.3B","0.0091","0.884","0.964","0.746","Vehicles"
"Beef (frozen)","0202 HS92","2021","$30.5B","0.003","0.877","-1.19","-0.0719","Agriculture"
"Poultry","0207 HS92","2021","$29.5B","0.074","0.862","-0.0022","0.433","Agriculture"
"Catalytic preparations","3815 HS92","2021","$29.4B","0.0024","0.915","1.05","1.15","Chemicals"
"Synthetic rubber","4002 HS92","2021","$29.4B","0.0061","0.89","0.517","0.68","Chemicals"
"Solid soybean residues","2304 HS92","2021","$29.4B","0.001","0.875","-1.35","0.0192","Agriculture"
"Other tubes, pipes and hollow profiles of iron or steel","7306 HS92","2021","$29.1B","0.061","0.815","-0.585","0.117","Metals"
"Machinery for working rubber or plastics","8477 HS92","2021","$29.0B","0.0901","0.928","1.71","1.29","Machinery"
"Vulcanized rubber articles of apparel","4015 HS92","2021","$28.3B","0.0172","0.886","-0.145","0.204","Chemicals"
"Watches","9102 HS92","2021","$28.2B","0.0033","0.912","0.572","0.427","Machinery"
"Nucleic acids and their salts","2934 HS92","2021","$28.0B","0.0001","0.939","1.37","0.905","Chemicals"
"Mixtures of odoriferous subtances","3302 HS92","2021","$28.0B","0.222","0.882","0.119","0.646","Chemicals"
"Polymers of vinyl chloride","3904 HS92","2021","$27.7B","0.0075","0.877","0.567","0.731","Chemicals"
"Beef","0201 HS92","2021","$27.5B","0.0006","0.853","-0.563","0.256","Agriculture"
"Polymers of styrene","3903 HS92","2021","$27.5B","0.0279","0.896","0.577","0.939","Chemicals"
"Toilet paper","4818 HS92","2021","$27.3B","0.0747","0.827","-0.128","0.395","Agriculture"
"Rice","1006 HS92","2021","$27.2B","0.06","0.809","-1.56","-0.221","Agriculture"
"Acyclic hydrocarbons","2901 HS92","2021","$26.8B","0.0001","0.877","0.457","0.497","Chemicals"
"Scrap of precious metal","7112 HS92","2021","$26.7B","0.0725","0.826","-0.658","0.105","Stone"
"Woven fabrics of synthetic filament yarn","5407 HS92","2021","$26.5B","0.169","0.83","-0.605","0.206","Textiles"
"Copper wire","7408 HS92","2021","$26.3B","0.0556","0.859","-0.339","0.352","Metals"
"Self-adhesive plastic sheets","3919 HS92","2021","$26.2B","0.0321","0.909","1.12","1.25","Chemicals"
"Harvesting or agricultural machinery","8433 HS92","2021","$26.1B","0.0279","0.891","0.966","1.01","Machinery"
"Vacuum cleaners","8508 HS92","2021","$26.1B","0.0067","0.911","1.22","1.01","Electronics"
"Paper and paperboard, coated with kaolin","4810 HS92","2021","$25.9B","0.0006","0.915","0.676","0.795","Agriculture"
"X-ray machines","9022 HS92","2021","$25.5B","0.0543","0.937","1.5","1.27","Machinery"
"Waters, flavored or sweetened","2202 HS92","2021","$25.5B","0.308","0.816","-0.504","0.249","Agriculture"
"Sprays and powder dispersers","8424 HS92","2021","$25.3B","0.0531","0.894","0.879","1.06","Machinery"
"Plastic household articles","3924 HS92","2021","$25.0B","0.174","0.836","-0.574","0.183","Chemicals"
"Instruments for measuring properties of liquids or gases","9026 HS92","2021","$24.9B","0.107","0.903","1.12","1.1","Machinery"
"Cigars and cigarettes","2402 HS92","2021","$24.2B","0.0021","0.802","-0.978","-0.0369","Agriculture"
"Electric generating sets and rotary converters","8502 HS92","2021","$23.7B","0.149","0.883","0.0676","0.796","Electronics"
"Interchangeable tools for hand tools","8207 HS92","2021","$23.7B","0.267","0.917","1.58","1.41","Metals"
"House linen","6302 HS92","2021","$23.5B","0.418","0.789","-1.23","0.0561","Textiles"
"Milk, concentrated","0402 HS92","2021","$23.5B","0.0327","0.848","-0.665","0.182","Agriculture"
"Petroleum coke","2713 HS92","2021","$23.3B","0.0151","0.832","-0.875","0.079","Minerals"
"Other bars of iron, not further worked than forged","7214 HS92","2021","$23.3B","0.0497","0.791","-1.13","-0.0695","Metals"
"Malt extract","1901 HS92","2021","$22.8B","0.0869","0.86","0.113","0.427","Agriculture"
"Flat-rolled iron, width > 600mm, cold-rolled, not clad","7209 HS92","2021","$22.8B","0.209","0.854","0.0155","0.54","Metals"
"Parts for use with electric generators","8503 HS92","2021","$22.4B","0.193","0.859","0.866","0.954","Electronics"
"Mattresses and bedding","9404 HS92","2021","$22.3B","0.0854","0.811","-0.477","0.254","Textiles"
"Amino-resins","3909 HS92","2021","$22.1B","0.0803","0.895","1.14","1.03","Chemicals"
"Therapy applicances","9019 HS92","2021","$21.5B","0.0046","0.913","0.466","0.772","Machinery"
"Tubes, seamless, of iron or steel","7304 HS92","2021","$21.2B","0.0619","0.886","0.492","0.807","Metals"
"Cellulose wadding, coated","4811 HS92","2021","$21.0B","0.0134","0.871","0.339","0.727","Agriculture"
"Aluminum bars","7604 HS92","2021","$20.9B","0.933","0.829","-0.287","0.378","Metals"
"Electrical ignition equipment","8511 HS92","2021","$20.9B","0.0566","0.868","0.832","0.989","Electronics"
"Special function vessels, n.e.c.","8905 HS92","2021","$20.8B","0.0246","0.85","-1.37","0.0417","Vehicles"
"Synthetic filament yarn","5402 HS92","2021","$20.7B","0.189","0.854","0.141","0.446","Textiles"
"Perfumes","3303 HS92","2021","$20.6B","0.198","0.881","0.227","0.744","Chemicals"
"Fork-lift trucks","8427 HS92","2021","$20.6B","0.0322","0.925","1.29","1.4","Machinery"
"Saturated acyclic monocarboxylic acids","2915 HS92","2021","$20.4B","0.0044","0.913","0.803","0.762","Chemicals"
"Other articles of aluminum","7616 HS92","2021","$20.3B","0.199","0.847","0.74","0.782","Metals"
"Unglazed ceramic flags and pavers","6907 HS92","2021","$20.2B","0.678","0.806","-0.931","0.0008","Stone"
"Hormones","2937 HS92","2021","$20.2B","0","0.922","1.01","0.8","Chemicals"
"Radar","8526 HS92","2021","$19.9B","0.467","0.888","1.07","1.14","Electronics"
"Plywood","4412 HS92","2021","$19.8B","0.625","0.835","-0.728","0.0572","Agriculture"
"Tube or pipe fittings of iron or steel","7307 HS92","2021","$19.7B","0.065","0.897","1.31","1.23","Metals"
"Other nuts","0802 HS92","2021","$19.6B","0.102","0.784","-1.67","-0.184","Agriculture"
"Other uncoated paper and paperboard","4805 HS92","2021","$19.5B","0.0078","0.848","-0.0251","0.485","Agriculture"
"Parts and accessories for metal working machines","8466 HS92","2021","$19.5B","0.0582","0.911","1.51","1.34","Machinery"
"Slag, ash and residues containing metals","2620 HS92","2021","$19.4B","0.242","0.843","-0.586","0.296","Minerals"
"Fruits and nuts, otherwise prepared","2008 HS92","2021","$19.4B","0.721","0.788","-1.2","-0.143","Agriculture"
"Acrylic polymers","3906 HS92","2021","$19.3B","0.0273","0.922","1.44","1.16","Chemicals"
"Nonwoven textiles","5603 HS92","2021","$19.3B","0.223","0.886","0.97","1.09","Textiles"
"Pleasure or sport boats","8903 HS92","2021","$19.0B","0.0007","0.861","-0.277","0.662","Vehicles"
"Electric sound or visual signaling apparatus","8531 HS92","2021","$18.4B","0.0487","0.867","0.799","0.709","Electronics"
"Molding boxes for metal foundry","8480 HS92","2021","$18.2B","0.305","0.91","1.45","1.3","Machinery"
"Hot rolled bars of iron","7213 HS92","2021","$18.1B","0.483","0.818","-0.404","0.306","Metals"
"Natural rubber","4001 HS92","2021","$18.1B","0.0056","0.814","-2.12","-0.25","Chemicals"
"Wood in the rough","4403 HS92","2021","$18.1B","0.0036","0.84","-1.62","0.0479","Agriculture"
"Potassic fertilizers","3104 HS92","2021","$18.0B","0.588","0.869","-0.858","0.171","Chemicals"
"Household articles of iron or steel","7323 HS92","2021","$17.8B","0.05","0.872","0.346","0.276","Metals"
"Angles of iron or nonalloy steel","7216 HS92","2021","$17.8B","0.0509","0.824","-0.353","0.284","Metals"
"Machinery for working minerals","8474 HS92","2021","$17.8B","0.129","0.871","0.503","0.814","Machinery"
"Polyamides","3908 HS92","2021","$17.7B","0.033","0.913","1.77","1.25","Chemicals"
"Wood carpentry for construction","4418 HS92","2021","$17.7B","0.473","0.863","0.227","0.531","Agriculture"
"Oxygen-function amino-compounds","2922 HS92","2021","$17.6B","0.003","0.921","1.16","0.846","Chemicals"
"Containers for multimodal transportation","8609 HS92","2021","$17.6B","0.0334","0.877","-0.372","0.0013","Vehicles"
"Paintings and drawings","9701 HS92","2021","$17.6B","0.315","0.912","0.218","0.495","Textiles"
"Raw cotton","5201 HS92","2021","$17.6B","0.0006","0.806","-2.43","-0.377","Textiles"
"Chemical elements for electronics","3818 HS92","2021","$17.4B","0","0.941","2.06","1.04","Chemicals"
"Watches with precious metal","9101 HS92","2021","$17.3B","0.0049","0.921","0.583","0.447","Machinery"
"Polycarboxylic acids","2917 HS92","2021","$17.1B","0.0032","0.884","0.808","0.78","Chemicals"
"Other prepared or preserved meat","1602 HS92","2021","$17.1B","0.0141","0.863","0.121","0.488","Agriculture"
"Beer","2203 HS92","2021","$16.8B","0.14","0.851","-0.394","0.48","Agriculture"
"Lenses and other optical elements","9002 HS92","2021","$16.6B","0.0004","0.924","1.31","1.12","Machinery"
"Other coloring matter","3206 HS92","2021","$16.5B","0.0375","0.899","0.563","0.684","Chemicals"
"Household- or laundry-type washing machines","8450 HS92","2021","$16.3B","0.0065","0.871","0.61","0.722","Machinery"
"Sauces and seasonings","2103 HS92","2021","$16.2B","0.0348","0.825","-0.53","0.269","Agriculture"
"Sunflower seed oil","1512 HS92","2021","$16.1B","0.311","0.825","-0.968","0.0442","Agriculture"
"Hair products","3305 HS92","2021","$16.1B","0.307","0.846","0.367","0.646","Chemicals"
"Paints and varnishes, nonaqueous","3208 HS92","2021","$16.1B","0.397","0.864","0.59","0.835","Chemicals"
"Pharmaceutical goods","3006 HS92","2021","$16.0B","0.0141","0.891","0.62","0.9","Chemicals"
"Nickel unwrought","7502 HS92","2021","$16.0B","0","0.901","0.0549","0.319","Metals"
"Stoves and similar non-electric appliances of iron or steel","7321 HS92","2021","$15.8B","0.0342","0.856","0.152","0.623","Metals"
"Books, brochures etc.","4901 HS92","2021","$15.7B","0.0403","0.875","0.419","0.873","Agriculture"
"Plastic builders' ware","3925 HS92","2021","$15.6B","0.0411","0.837","0.218","0.566","Chemicals"
"Aluminum structures (bridges, towers etc)","7610 HS92","2021","$15.6B","0.0652","0.846","0.391","0.707","Metals"
"Unwrought zinc","7901 HS92","2021","$15.5B","0.004","0.87","-0.322","0.327","Metals"
"Cotton yarn of > 85%","5205 HS92","2021","$15.4B","0.0998","0.782","-1.86","-0.261","Textiles"
"Unrefined copper","7402 HS92","2021","$15.3B","0.75","0.797","-2.52","-0.291","Metals"
"Uncoated kraft paper and paperboard","4804 HS92","2021","$15.2B","0.0178","0.869","-0.114","0.408","Agriculture"
"Synthetic organic coloring matter","3204 HS92","2021","$15.2B","0.207","0.89","0.571","0.817","Chemicals"
"Aluminum foil < 0.2 mm","7607 HS92","2021","$15.2B","0.0144","0.888","0.586","0.933","Metals"
"Fruit juices","2009 HS92","2021","$15.1B","0.26","0.797","-0.841","-0.0317","Agriculture"
"Electrical resistors","8533 HS92","2021","$15.0B","0.0081","0.907","0.833","0.964","Electronics"
"Ethers","2909 HS92","2021","$14.9B","0.0001","0.908","0.0028","0.554","Chemicals"
"Glues and adhesives","3506 HS92","2021","$14.7B","0.0584","0.91","1.51","1.26","Chemicals"
"Tanned hides of bovines or equines","4104 HS92","2021","$14.7B","0.602","0.805","-1.22","-0.0256","Agriculture"
"Aluminum oxide","2818 HS92","2021","$14.7B","0.0187","0.861","-1.08","-0.005","Chemicals"
